config-benchmark,GT.Leakage,GT.Dynamic,GT.Total,McPAT-7nm.Leakage,McPAT-7nm.Dynamic,McPAT-7nm.Total,ML.Leakage,ML-Shuffle.Dynamic,ML-Shuffle.Total,ML-Config.Dynamic,ML-Config.Total,ML-Benchmark.Dynamic,ML-Benchmark.Total
GigaBoomProConfig-adpcm_enc.riscv,7.52,34.09,41.61,4.07468,31.2438,35.31848,7.0904743089176865,32.753517150878906,39.84399145979659,30.507457733154297,37.59793204207198,32.99840545654297,40.08887976546065
GigaBoomProConfig-basicmath_small.riscv,7.54,40.39,47.93,4.07468,29.263,33.33768,7.0904743089176865,40.02123260498047,47.11170691389815,39.386390686035156,46.47686499495284,39.50840377807617,46.59887808699386
GigaBoomProConfig-binarysearch.riscv,7.43,33.97,41.4,4.07468,24.1007,28.17538,7.0904743089176865,32.3583869934082,39.44886130232589,31.719100952148438,38.80957526106612,33.96043395996094,41.05090826887862
GigaBoomProConfig-bitcount.riscv,7.41,35.69,43.1,4.07468,39.993,44.06768,7.0904743089176865,34.517417907714844,41.60789221663253,33.52812957763672,40.6186038865544,32.612632751464844,39.70310706038253
GigaBoomProConfig-bitonic.riscv,7.37,34.63,42.0,4.07468,48.1912,52.26588,7.0904743089176865,33.8463134765625,40.936787785480185,32.56719970703125,39.657674015948935,38.55989456176758,45.65036887068526
GigaBoomProConfig-branchy.riscv,7.32,30.01,37.33,4.07468,21.8643,25.93898,7.0904743089176865,31.72719383239746,38.817668141315146,28.648391723632812,35.7388660325505,33.397071838378906,40.48754614729659
GigaBoomProConfig-branchy_large.riscv,7.32,30.01,37.33,4.07468,21.9112,25.98588,7.0904743089176865,30.35304832458496,37.443522633502646,28.09998893737793,35.190463246295614,35.52750015258789,42.617974461505575
GigaBoomProConfig-bsort.riscv,7.47,49.6,57.07,4.07468,64.4692,68.54388,7.0904743089176865,47.32970428466797,54.42017859358565,45.801353454589844,52.89182776350753,46.756874084472656,53.84734839339034
GigaBoomProConfig-bubblesort.riscv,7.54,46.77,54.31,4.07468,64.7374,68.81208,7.0904743089176865,47.45412063598633,54.54459494490401,43.018829345703125,50.10930365462081,49.97330856323242,57.06378287215011
GigaBoomProConfig-cnt.riscv,7.38,32.97,40.35,4.07468,28.1288,32.20348,7.0904743089176865,34.70320129394531,41.793675602863,31.427717208862305,38.51819151777999,33.2226676940918,40.31314200300948
